sex,year,age,qx,lx,lx/l0,dx,ex
M,2040,0,0.002637219,100000,1,263.7218643,90.20535057
M,2041,1,0.00024432,99736.27814,0.997362781,24.36753389,89.44254874
M,2042,2,0.000110982,99711.9106,0.997119106,11.06618675,88.46428446
M,2043,3,5.79025E-05,99700.84442,0.997008444,5.772932027,87.47404796
M,2044,4,5.07166E-05,99695.07148,0.996950715,5.056196082,86.47908427
M,2045,5,4.77304E-05,99690.01529,0.996900153,4.758239792,85.48344506
M,2046,6,4.48079E-05,99685.25705,0.99685257,4.466686076,84.48750155
M,2047,7,4.19304E-05,99680.79036,0.996807904,4.179659495,83.49126502
M,2048,8,3.90787E-05,99676.6107,0.996766107,3.895227497,82.49474502
M,2049,9,3.75949E-05,99672.71547,0.996727155,3.74718338,81.49794939
M,2050,10,3.74555E-05,99668.96829,0.996689683,3.733148577,80.50099462
M,2051,11,3.8647E-05,99665.23514,0.996652351,3.85176517,79.5039912
M,2052,12,4.2476E-05,99661.38338,0.996613834,4.233217356,78.50704459
M,2053,13,5.02388E-05,99657.15016,0.996571502,5.006651914,77.51035816
M,2054,14,5.98897E-05,99652.14351,0.996521435,5.968132918,76.51422726
M,2055,15,7.26766E-05,99646.17537,0.996461754,7.241947066,75.51878
M,2056,16,8.85586E-05,99638.93343,0.996389334,8.823887613,74.52423251
M,2057,17,0.000109972,99630.10954,0.996301095,10.95648391,73.53078857
M,2058,18,0.000132851,99619.15306,0.996191531,13.23447438,72.53882077
M,2059,19,0.000154905,99605.91858,0.996059186,15.42946088,71.54839245
M,2060,20,0.000173507,99590.48912,0.995904891,17.27960862,70.55939991
M,2061,21,0.0001868,99573.20951,0.995732095,18.60026532,69.57155779
M,2062,22,0.000195159,99554.60925,0.995546092,19.42898311,68.58446276
M,2063,23,0.000199329,99535.18026,0.995351803,19.84021673,67.59775265
M,2064,24,0.000204504,99515.34005,0.9951534,20.351321,66.61112982
M,2065,25,0.000211233,99494.98873,0.994949887,21.01665406,65.6246526
M,2066,26,0.000221094,99473.97207,0.994739721,21.99310631,64.638412
M,2067,27,0.000235298,99451.97897,0.99451979,23.40087125,63.65259576
M,2068,28,0.000251404,99428.57809,0.994285781,24.99671888,62.66745895
M,2069,29,0.000272731,99403.58138,0.994035814,27.11048602,61.68309202
M,2070,30,0.000295322,99376.47089,0.993764709,29.34808355,60.69978312
M,2071,31,0.000320434,99347.12281,0.993471228,31.83419245,59.71756671
M,2072,32,0.000347833,99315.28861,0.993152886,34.54516996,58.73654811
M,2073,33,0.000377848,99280.74344,0.992807434,37.51300923,57.75681178
M,2074,34,0.000411662,99243.23043,0.992432304,40.85462392,56.77845431
M,2075,35,0.000450291,99202.37581,0.992023758,44.6699839,55.80163153
M,2076,36,0.0004943,99157.70583,0.991577058,49.01368634,54.8265446
M,2077,37,0.00054196,99108.69214,0.991086921,53.71299169,53.85341151
M,2078,38,0.00059313,99054.97915,0.990549791,58.75252785,52.88234263
M,2079,39,0.000649686,98996.22662,0.989962266,64.31645715,51.91343063
M,2080,40,0.000707681,98931.91016,0.989319102,70.01223167,50.94685493
M,2081,41,0.00076695,98861.89793,0.988618979,75.82216598,49.98258049
M,2082,42,0.000827052,98786.07577,0.987860758,81.70125269,49.0205603
M,2083,43,0.000887995,98704.37451,0.987043745,87.64903929,48.06072256
M,2084,44,0.00094745,98616.72547,0.986167255,93.43446418,47.10299381
M,2085,45,0.0010074,98523.29101,0.98523291,99.25240263,46.14718971
M,2086,46,0.001066328,98424.03861,0.984240386,104.9523259,45.19322108
M,2087,47,0.001124034,98319.08628,0.983190863,110.5140118,44.24092959
M,2088,48,0.001180631,98208.57227,0.982085723,115.9481007,43.29015122
M,2089,49,0.001236541,98092.62417,0.980926242,121.2955995,42.34073032
M,2090,50,0.001294706,97971.32857,0.979713286,126.8440466,41.39253217
M,2091,51,0.001357343,97844.48452,0.978444845,132.8085178,40.44554461
M,2092,52,0.0014296,97711.676,0.97711676,139.6885857,39.4998381
M,2093,53,0.001514207,97571.98742,0.975719874,147.7442096,38.55567208
M,2094,54,0.001618181,97424.24321,0.974242432,157.6500967,37.61338364
M,2095,55,0.001747825,97266.59311,0.972665931,170.0050177,36.67353717
M,2096,56,0.001903289,97096.5881,0.970965881,184.8028815,35.73687289
M,2097,57,0.002083195,96911.78521,0.969117852,201.8861782,34.80406674
M,2098,58,0.002284994,96709.89904,0.96709899,220.981521,33.87567799
M,2099,59,0.002501369,96488.91751,0.964889175,241.3543624,32.95211587
M,2100,60,0.00272575,96247.56315,0.962475632,262.3467734,32.03349414
M,2101,61,0.002959138,95985.21638,0.959852164,284.0334595,31.11968148
M,2102,62,0.003203226,95701.18292,0.957011829,306.5524951,30.21055824
M,2103,63,0.00345938,95394.63042,0.953946304,330.0062365,29.3060337
M,2104,64,0.003730866,95064.62419,0.950646242,354.6733686,28.40603063
M,2105,65,0.00402329,94709.95082,0.947099508,381.0456312,27.51053418
M,2106,66,0.004342095,94328.90519,0.943289052,409.5850924,26.61964438
M,2107,67,0.004694446,93919.3201,0.939193201,440.8991795,25.73355297
M,2108,68,0.00508407,93478.42092,0.934784209,475.2508655,24.85256923
M,2109,69,0.005516964,93003.17005,0.930031701,513.0951135,23.97701209
M,2110,70,0.005999666,92490.07494,0.924900749,554.909539,23.10725244
M,2111,71,0.006543464,91935.1654,0.919351654,601.5744085,22.24370708
M,2112,72,0.007158665,91333.59099,0.91333591,653.8266033,21.38692337
M,2113,73,0.007852444,90679.76439,0.906797644,712.0578058,20.53752396
M,2114,74,0.008633896,89967.70658,0.899677066,776.7717883,19.69611281
M,2115,75,0.009512049,89190.93479,0.891909348,848.3885243,18.86329347
M,2116,76,0.010489573,88342.54627,0.883425463,926.6756127,18.03964346
M,2117,77,0.01157376,87415.87065,0.874158707,1011.730292,17.2255772
M,2118,78,0.01278155,86404.14036,0.864041404,1104.378867,16.42142167
M,2119,79,0.014137011,85299.7615,0.852997615,1205.88364,15.62755685
M,2120,80,0.015680997,84093.87786,0.840938779,1318.675872,14.84448196
M,2121,81,0.017465121,82775.20198,0.82775202,1445.678878,14.07300115
M,2122,82,0.019523822,81329.52311,0.813295231,1587.863159,13.31426902
M,2123,83,0.021875779,79741.65995,0.797416599,1744.410965,12.56943434
M,2124,84,0.024541584,77997.24898,0.77997249,1914.176076,11.83936762
M,2125,85,0.027541671,76083.07291,0.760830729,2095.454952,11.12465507
M,2126,86,0.030884254,73987.61795,0.73987618,2285.052382,10.42556334
M,2127,87,0.034583778,71702.56557,0.717025656,2479.745611,9.741876045
M,2128,88,0.038678483,69222.81996,0.6922282,2677.433658,9.072944637
M,2129,89,0.043220092,66545.3863,0.665453863,2876.097696,8.417874493
M,2130,90,0.04886921,63669.28861,0.636692886,3111.467867,7.775544275
M,2131,91,0.056891273,60557.82074,0.605578207,3445.211537,7.149362585
M,2132,92,0.066783435,57112.6092,0.571126092,3814.176245,6.550472971
M,2133,93,0.078252425,53298.43296,0.53298433,4170.731601,5.983460753
M,2134,94,0.091446476,49127.70136,0.491277014,4492.555183,5.448983104
M,2135,95,0.106465781,44635.14617,0.446351462,4752.115685,4.947101327
M,2136,96,0.12369123,39883.03049,0.398830305,4933.181082,4.476979316
M,2137,97,0.143759164,34949.84941,0.349498494,5024.361131,4.038331066
M,2138,98,0.166936925,29925.48827,0.299254883,4995.66898,3.632401676
M,2139,99,0.193110256,24929.81929,0.249298193,4814.203778,3.260101448
M,2140,100,0.222210748,20115.61552,0.201156155,4469.905978,2.920667405
F,2040,0,0.002159301,100000,1,215.9300628,92.46970942
F,2041,1,0.000213967,99784.06994,0.997840699,21.35053748,91.66872942
F,2042,2,9.8985E-05,99762.7194,0.997627194,9.875013976,90.68824073
F,2043,3,5.20544E-05,99752.84439,0.997528444,5.192574762,89.69716889
F,2044,4,4.45569E-05,99747.65181,0.997476518,4.444450511,88.70181224
F,2045,5,4.28934E-05,99743.20736,0.997432074,4.278327342,87.70574242
F,2046,6,4.12766E-05,99738.92903,0.99738929,4.11688538,86.70948313
F,2047,7,3.68627E-05,99734.81215,0.997348121,3.676494063,85.71304172
F,2048,8,3.24968E-05,99731.13565,0.997311357,3.240940889,84.71618301
F,2049,9,3.09841E-05,99727.89471,0.997278947,3.089979253,83.71891986
F,2050,10,3.08819E-05,99724.80473,0.997248047,3.079687356,82.7214984
F,2051,11,3.35739E-05,99721.72505,0.99721725,3.348048598,81.72403763
F,2052,12,3.90138E-05,99718.377,0.99718377,3.890397664,80.72676473
F,2053,13,4.57962E-05,99714.4866,0.997144866,4.566543876,79.72989481
F,2054,14,5.2539E-05,99709.92006,0.997099201,5.23865796,78.7335234
F,2055,15,6.05937E-05,99704.6814,0.997046814,6.041475914,77.73763393
F,2056,16,6.99442E-05,99698.63992,0.996986399,6.973344795,76.74231433
F,2057,17,7.91524E-05,99691.66658,0.996916666,7.890835911,75.74764741
F,2058,18,8.678E-05,99683.77574,0.996837757,8.650555263,74.75360391
F,2059,19,9.1278E-05,99675.12519,0.996751252,9.098147422,73.7600482
F,2060,20,9.54245E-05,99666.02704,0.99666027,9.510583999,72.76673584
F,2061,21,9.84113E-05,99656.51645,0.996565165,9.807327078,71.77363252
F,2062,22,0.000100102,99646.70913,0.996467091,9.974840075,70.78064734
F,2063,23,0.000102272,99636.73429,0.996367343,10.19005075,69.78768328
F,2064,24,0.000106551,99626.54424,0.996265442,10.6153356,68.7947702
F,2065,25,0.000114245,99615.9289,0.996159289,11.38063589,67.80204787
F,2066,26,0.000125119,99604.54827,0.996045483,12.4624292,66.80973768
F,2067,27,0.000138432,99592.08584,0.995920858,13.78673805,65.81803533
F,2068,28,0.000154214,99578.2991,0.995782991,15.35639376,64.82707869
F,2069,29,0.000171784,99562.9427,0.995629427,17.10331724,63.83700038
F,2070,30,0.000189982,99545.83939,0.995458394,18.91193687,62.84788253
F,2071,31,0.000208356,99526.92745,0.995269275,20.73706362,61.85972976
F,2072,32,0.00022613,99506.19039,0.995061904,22.50136,60.87251712
F,2073,33,0.000243809,99483.68903,0.99483689,24.25497431,59.88617226
F,2074,34,0.000262138,99459.43405,0.994594341,26.07208966,58.90065464
F,2075,35,0.000284201,99433.36196,0.99433362,28.25905963,57.91596768
F,2076,36,0.000309214,99405.1029,0.994051029,30.73741317,56.93229
F,2077,37,0.000335996,99374.36549,0.993743655,33.38942202,55.94974503
F,2078,38,0.000365353,99340.97607,0.993409761,36.29448857,54.9683822
F,2079,39,0.000394756,99304.68158,0.993046816,39.20113773,53.98828964
F,2080,40,0.000425208,99265.48044,0.992654804,42.20852215,53.00941281
F,2081,41,0.000455661,99223.27192,0.992232719,45.2121534,52.03174976
F,2082,42,0.000484836,99178.05977,0.991780598,48.08511119,51.05524146
F,2083,43,0.000515165,99129.97465,0.991299747,51.06829404,50.07976436
F,2084,44,0.000547458,99078.90636,0.990789064,54.2414944,49.10531928
F,2085,45,0.000583932,99024.66487,0.990246649,57.82364416,48.13194321
F,2086,46,0.000622061,98966.84122,0.989668412,61.56340577,47.15977326
F,2087,47,0.000666883,98905.27782,0.989052778,65.95827334,46.18881655
F,2088,48,0.00071412,98839.31954,0.988393195,70.58313748,45.21930599
F,2089,49,0.000764877,98768.73641,0.987687364,75.54589473,44.25126376
F,2090,50,0.000821156,98693.19051,0.986931905,81.04252567,43.2847537
F,2091,51,0.00088359,98612.14799,0.98612148,87.13266815,42.31991554
F,2092,52,0.000951053,98525.01532,0.985250153,93.70247901,41.35689986
F,2093,53,0.001028491,98431.31284,0.984313128,101.2356784,40.39579391
F,2094,54,0.001114617,98330.07716,0.983300772,109.6003625,39.43686861
F,2095,55,0.001210722,98220.4768,0.982204768,118.9176932,38.48031672
F,2096,56,0.001314747,98101.5591,0.981015591,128.9787397,37.52635607
F,2097,57,0.00142909,97972.58036,0.979725804,140.0116108,36.57510045
F,2098,58,0.001557631,97832.56875,0.978325688,152.3870574,35.62672879
F,2099,59,0.001692457,97680.1817,0.976801817,165.3195511,34.68152863
F,2100,60,0.001831858,97514.86214,0.975148621,178.6333324,33.73947749
F,2101,61,0.001977973,97336.22881,0.973362288,192.5284001,32.80047923
F,2102,62,0.002131867,97143.70041,0.971437004,207.0974299,31.86449531
F,2103,63,0.002296496,96936.60298,0.96936603,222.614512,30.93150309
