sex,year,age,qx,lx,lx/l0,dx,ex
M,2060,0,0.002068475,100000,1,206.847508,92.12964046
M,2061,1,0.000191243,99793.15249,0.997931525,19.08478298,91.31956695
M,2062,2,8.76095E-05,99774.06771,0.997740677,8.741154281,90.33693891
M,2063,3,4.62844E-05,99765.32655,0.997653266,4.617582771,89.34481017
M,2064,4,4.0428E-05,99760.70897,0.99760709,4.033126233,88.34892249
M,2065,5,3.88282E-05,99756.67585,0.997566758,3.873369847,87.35247419
M,2066,6,3.65873E-05,99752.80248,0.997528025,3.64968472,86.35584665
M,2067,7,3.30074E-05,99749.15279,0.997491528,3.292459357,85.358988
M,2068,8,2.87701E-05,99745.86033,0.997458603,2.86970266,84.36178906
M,2069,9,2.72957E-05,99742.99063,0.997429906,2.722556695,83.36420185
M,2070,10,2.71922E-05,99740.26807,0.997402681,2.712159077,82.36646375
M,2071,11,2.84385E-05,99737.55591,0.997375559,2.836383277,81.36868994
M,2072,12,3.37135E-05,99734.71953,0.997347195,3.362406862,80.37098979
M,2073,13,4.02914E-05,99731.35712,0.997313571,4.018313586,79.37368261
M,2074,14,4.74615E-05,99727.33881,0.997273388,4.733212892,78.37686066
M,2075,15,5.71849E-05,99722.6056,0.997226056,5.702631341,77.380557
M,2076,16,7.00958E-05,99716.90297,0.99716903,6.989731865,76.38495366
M,2077,17,8.67006E-05,99709.91323,0.997099132,8.644911572,75.39027324
M,2078,18,0.000104907,99701.26832,0.997012683,10.45934878,74.39676684
M,2079,19,0.000121157,99690.80897,0.99690809,12.07820854,73.40451993
M,2080,20,0.00013604,99678.73076,0.996787308,13.56026775,72.41335387
M,2081,21,0.000147498,99665.1705,0.996651705,14.70046054,71.42313828
M,2082,22,0.000153932,99650.47004,0.9965047,15.33938093,70.43360088
M,2083,23,0.000156719,99635.13066,0.996351307,15.61468183,69.44436754
M,2084,24,0.00015984,99619.51597,0.99619516,15.92314095,68.4551741
M,2085,25,0.000165671,99603.59283,0.996035928,16.50138122,67.46603776
M,2086,26,0.000173432,99587.09145,0.995870915,17.27162318,66.4771339
M,2087,27,0.00018435,99569.81983,0.995698198,18.35573007,65.48857846
M,2088,28,0.000197767,99551.4641,0.995514641,19.68803488,64.50056133
M,2089,29,0.000214099,99531.77606,0.995317761,21.30962415,63.51322106
M,2090,30,0.000231697,99510.46644,0.995104664,23.05627167,62.526715
M,2091,31,0.000251201,99487.41017,0.994874102,24.99130996,61.54108973
M,2092,32,0.000272444,99462.41886,0.994624189,27.09797262,60.55642715
M,2093,33,0.000296867,99435.32088,0.994353209,29.51903637,59.57279364
M,2094,34,0.000323284,99405.80185,0.994058018,32.13631257,58.5903356
M,2095,35,0.000352758,99373.66554,0.993736655,35.05482116,57.60912135
M,2096,36,0.000386461,99338.61071,0.993386107,38.39045565,56.62927414
M,2097,37,0.000423825,99300.22026,0.993002203,42.08589394,55.65097427
M,2098,38,0.000464743,99258.13437,0.992581344,46.12955205,54.67435853
M,2099,39,0.000509286,99212.00481,0.992120048,50.52726701,53.69954741
M,2100,40,0.00055581,99161.47755,0.991614775,55.11498431,52.72665499
M,2101,41,0.00060179,99106.36256,0.991063626,59.64117598,51.75569925
M,2102,42,0.000649867,99046.72139,0.990467214,64.3672306,50.78656297
M,2103,43,0.000697641,98982.35416,0.989823542,69.05411373,49.81926382
M,2104,44,0.00074334,98913.30004,0.989133,73.52616366,48.85369496
M,2105,45,0.000790735,98839.77388,0.988397739,78.15610799,47.88966491
M,2106,46,0.000838229,98761.61777,0.987616178,82.78484834,46.92716725
M,2107,47,0.00088267,98678.83292,0.986788329,87.1008073,45.9661165
M,2108,48,0.000925932,98591.73211,0.985917321,91.28926708,45.00628351
M,2109,49,0.00097028,98500.44285,0.985004428,95.57296338,44.04753151
M,2110,50,0.001016885,98404.86988,0.984048699,100.0664599,43.08982582
M,2111,51,0.001067296,98304.80342,0.983048034,104.9202775,42.13317888
M,2112,52,0.001121967,98199.88315,0.981998831,110.1770562,41.17766126
M,2113,53,0.001189054,98089.70609,0.980897061,116.6339582,40.22335153
M,2114,54,0.001271337,97973.07213,0.979730721,124.5568365,39.27064097
M,2115,55,0.001372664,97848.5153,0.978485153,134.3131526,38.31999428
M,2116,56,0.001494932,97714.20214,0.977142021,146.0761319,37.37197979
M,2117,57,0.001636153,97568.12601,0.97568126,159.6363853,36.42718343
M,2118,58,0.001795583,97408.48963,0.974084896,174.9050565,35.48606214
M,2119,59,0.001965193,97233.58457,0.972335846,191.0827612,34.54899553
M,2120,60,0.002141433,97042.50181,0.970425018,207.8100478,33.61604013
M,2121,61,0.002324973,96834.69176,0.968346918,225.1379967,32.68710811
M,2122,62,0.002516518,96609.55376,0.966095538,243.1196914,31.76211665
M,2123,63,0.002717821,96366.43407,0.963664341,261.906761,30.84098681
M,2124,64,0.002930709,96104.52731,0.961045273,281.6543599,29.92367292
M,2125,65,0.003161252,95822.87295,0.95822873,302.9202925,29.01015859
M,2126,66,0.0034133,95519.95266,0.955199527,326.0382271,28.10057222
M,2127,67,0.003688853,95193.91443,0.951939144,351.1563318,27.19510391
M,2128,68,0.00399396,94842.7581,0.948427581,378.798197,26.29394282
M,2129,69,0.004334266,94463.9599,0.944639599,409.431942,25.39737591
M,2130,70,0.004714961,94054.52796,0.94054528,443.4634025,24.50575752
M,2131,71,0.005143735,93611.06456,0.936110646,481.5104653,23.61947992
M,2132,72,0.005627065,93129.55409,0.931295541,524.0460609,22.73901524
M,2133,73,0.006172169,92605.50803,0.92605508,571.5768902,21.86486378
M,2134,74,0.006787853,92033.93114,0.920339311,624.7127972,20.99755031
M,2135,75,0.007479879,91409.21834,0.914092183,683.7299173,20.13763555
