sex,year,age,qx,lx,lx/l0,dx,ex
M,2030,0,0.003068432,100000,1,306.8431826,89.16072385
M,2031,1,0.000281869,99693.15682,0.996931568,28.10042758,88.43361057
M,2032,2,0.000127836,99665.05639,0.996650564,12.74080323,87.45840333
M,2033,3,6.75145E-05,99652.31559,0.996523156,6.72797349,86.46952118
M,2034,4,5.75004E-05,99645.58761,0.996455876,5.729661507,85.47532576
M,2035,5,5.42528E-05,99639.85795,0.99639858,5.405740942,84.48021216
M,2036,6,5.10813E-05,99634.45221,0.996344522,5.089460761,83.48476857
M,2037,7,4.79636E-05,99629.36275,0.996293627,4.778583689,82.48900776
M,2038,8,4.48762E-05,99624.58417,0.996245842,4.470771995,81.49294043
M,2039,9,4.10951E-05,99620.11339,0.996201134,4.093897736,80.49657525
M,2040,10,4.1647E-05,99616.0195,0.996160195,4.14871129,79.49986285
M,2041,11,4.43361E-05,99611.87079,0.996118708,4.416402205,78.5031531
M,2042,12,4.84165E-05,99607.45438,0.996074544,4.822648397,77.50661161
M,2043,13,5.60029E-05,99602.63173,0.996026317,5.578032271,76.51034018
M,2044,14,6.63183E-05,99597.0537,0.995970537,6.60510546,75.51459722
M,2045,15,8.27903E-05,99590.4486,0.995904486,8.245125717,74.51957239
M,2046,16,0.000101841,99582.20347,0.995822035,10.14159695,73.525701
M,2047,17,0.000124675,99572.06187,0.995720619,12.41415419,72.5331388
M,2048,18,0.00014973,99559.64772,0.995596477,14.90706646,71.54212066
M,2049,19,0.000175153,99544.74065,0.995447407,17.43554445,70.55275939
M,2050,20,0.000196784,99527.30511,0.995273051,19.58539866,69.56503148
M,2051,21,0.000210011,99507.71971,0.995077197,20.89773824,68.57862506
M,2052,22,0.000219321,99486.82197,0.99486822,21.81957154,67.59292534
M,2053,23,0.000226106,99465.0024,0.994650024,22.4896281,66.60764347
M,2054,24,0.000230785,99442.51277,0.994425128,22.94979204,65.62259418
M,2055,25,0.000238444,99419.56298,0.99419563,23.70599992,64.63762693
M,2056,26,0.000250731,99395.85698,0.99395857,24.92160611,63.65292382
M,2057,27,0.000264499,99370.93537,0.993709354,26.28349919,62.66876217
M,2058,28,0.000284106,99344.65188,0.993446519,28.22445094,61.68521009
M,2059,29,0.000308001,99316.42742,0.993164274,30.58951722,60.70259814
M,2060,30,0.000333258,99285.83791,0.992858379,33.0878066,59.72114629
M,2061,31,0.000362464,99252.7501,0.992527501,35.97559382,58.74088879
M,2062,32,0.000392851,99216.77451,0.992167745,38.97737231,57.7620067
M,2063,33,0.000426681,99177.79713,0.991777971,42.31732999,56.78451095
M,2064,34,0.00046522,99135.4798,0.991354798,46.11982408,55.80853676
M,2065,35,0.000508279,99089.35998,0.9908936,50.36501181,54.83427939
M,2066,36,0.000556445,99038.99497,0.99038995,55.10979994,53.86191039
M,2067,37,0.000610405,98983.88517,0.989838852,60.42021385,52.89161991
